arm_i,arm_j,a,b,c,d,n,lift_pp,p_value,OR,OR_lo,OR_hi
asha,opus45,1176,40,29,28,1273,+0.86,0.2284,1.38,0.855,2.22
asha,o4mini,1162,54,32,25,1273,+1.73,0.02298,1.69,1.09,2.61
asha,gemini,1150,66,25,32,1273,+3.22,2.028e-05,2.64,1.67,4.18
asha,gpt4o,1140,76,26,31,1273,+3.93,7.439e-07,2.92,1.87,4.56
opus45,o4mini,1166,39,28,40,1273,+0.86,0.2215,1.39,0.857,2.26
opus45,gemini,1141,64,34,34,1273,+2.36,0.003189,1.88,1.24,2.85
opus45,gpt4o,1141,64,25,43,1273,+3.06,4.322e-05,2.56,1.61,4.06
o4mini,gemini,1134,60,41,38,1273,+1.49,0.07276,1.46,0.984,2.18
o4mini,gpt4o,1128,66,38,41,1273,+2.20,0.0078,1.74,1.17,2.59
gemini,gpt4o,1106,69,60,38,1273,+0.71,0.4814,1.15,0.814,1.63
